acervo,lat,lon
Coleção Brasiliana Itaú,-23.57036448425183,-46.64589272605638
FILE,-23.563978148100713,-46.65427130993015
Instituto Hércules Florence,-23.56756538478381,-46.65167635027621
MAC USP,-23.588990578774755,-46.65095328777004
MASP,-23.561398959490553,-46.65570741502254
Museu Casa da Hera,-22.40715424202101,-43.6582763319824
Museu Casa da Princesa,-14.76555179041981,-49.57956208019638
Museu Casa de Benjamin Constant,-22.918992683773325,-43.18718222373722
Museu da Inconfidência,-20.38614836535125,-43.50365721669124
Museu das Bandeiras,-15.93787051099046,-50.14029050906541
Museu de Arte Religiosa e Tradicional,-22.88050884201623,-42.022832730202836
Museu de Arte Sacra da Boa Morte,-15.934817218142227,-50.139778924465254
Museu do Diamante,-18.246740550862054,-43.596791332086575
Museu Histórico Nacional,-22.904187610637294,-43.17066168540729
Museu Nacional de Belas Artes,-22.908701218367423,-43.175705741757234
Museu Paulista,,
Museu Regional do Caeté,,
Museu Regional São João Del Rey,,
Museu Victor Meirelles,,
Pinacoteca de São Paulo,,
