creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Jordão de Oliveira;1900;1980;Brasil;primeiros estudos de desenho com Quintino Marques > Escola Nacional de Belas Artes;-10.9093538 > -22.8625055;-37.0743967 > -43.2256622;Aracaju;Rio de Janeiro;male;https://www.ufrgs.br/acervopbsa/autor_/oliveira-jordao/;alta;As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques> não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.;Wikidata;alta;Museu Histórico Nacional;média;-10.9093538;-37.0743967;100.0;-22.9111111111;-43.2055555556;100.0;https://pge.se.gov.br/artista-do-mes-de-abril-jordao-de-oliveira/;Local de morte refinado de nível de país para cidade com base em fonte biográfica oficial.;alta;PGE Sergipe | Arremate Arte > Wikidata;PGE Sergipe | Arremate Arte > Wikidata;datas confirmadas em fontes biográficas convergentes;alta
José Vieira Ottoni;;;;;;;;;;;;pesquisa deste lote não localizou fonte auditável suficiente sobre formação;;;;;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;"não localizadas datas biográficas em fonte auditável; possível homônimo";
A. Bierry;;;;;;;;;;;;assinatura abreviada> não foi possível desambiguar com segurança;;;Museu da Inconfidência;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";;;;"assinatura abreviada; identidade não desambiguada com segurança";
A. Bill Miller;1962;;Estados Unidos;University of Wisconsin-Milwaukee;43.07503;-87.882915;Cleveland, Ohio, Estados Unidos;;male;University of Wisconsin-Whitewater / Transfer Gallery;alta;;dieFirma / Wikipedia;média;FILE;;41.5051414;-81.6914575;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;dieFirma | FILE > Ulan;;nascimento corrigido de 1920 para 1962 com base em biografia consistente;alta
A. Correa Costa;;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";;;;"autor identificado no acervo; datas biográficas não localizadas em fonte auditável";
A. Tinoco;;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";;;;"assinatura abreviada; identidade não desambiguada com segurança";
A.Guedes;;;;;;;;;;;;"A obra A Velha Sé de Diamantina é assinada “A. Guedes” e datada de 1932; a identidade biográfica do artista não pôde ser desambiguada.";;;Museu do Diamante;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";;;;registro localizado em fonte consultada, sem datas biográficas explícitas;
A.L. Crego;;;Espanha;autodidata;43.3707332;-8.3958532;A Corunha, Espanha;;male;FILE Festival | La Voz de Galicia / entrevista em Tumblr;média;autodidata> coordenadas atribuídas à cidade biográfica associada (A Coruña/Galícia) como proxy de formação;La Voz de Galicia / ARTEINFORMADO;média;FILE;baixa;43.3707332;-8.3958532;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;identificação provável, mas sem datas biográficas explícitas em fonte auditável;
Aaron Bradbury;;;República da Abecásia;;;;;;male;;;metadado de país de origem no FILE inconsistente com a biografia> não preenchido> pesquisa sem fonte robusta para local de nascimento | formação identificada, mas a fonte não nomeia a instituição;;;FILE;média;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;"valor pré-existente de nascimento não confirmado em FILE/MUTEK; campo deixado em branco";
Abe Abraham;1970;;Estados Unidos;Tisch School of the Arts, New York University;40.73;-73.995;Estados Unidos;;male;https://currentsnewmedia.org/artist/abe-abraham/;alta;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;alta;39.398703156;-99.41461919;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;CURRENTS New Media | Artsy > Ulan;;nascimento corrigido de 1946 para 1970 com base em biografia consistente;alta
