creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death
Jordão de Oliveira;Brazil;primeiros estudos de desenho com Quintino Marques;;;Aracaju;;Brazil;male;https://www.guiadasartes.com.br/jordao-de-oliveira/biografia | https://ihgse.org.br/wordpress/jordao-eduardo-de-oliveira-nunes/;;"As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques; não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.";;;"outros; Museu Histórico Nacional";Aracaju;;;media;-10.9093538;-37.0743967;100.0;-10.769946429;-53.073466889;100.0
José Vieira Ottoni;;;;;;;;;;;;;;outros;;;;;;;;;;
A. Bierry;;;;;;;;;;;"assinatura abreviada; não foi possível desambiguar com segurança";;;"outros; Museu da Inconfidência";;;;;;;;;;
A. Bill Miller;United States;University of Wisconsin-Milwaukee;43.07503;-87.882915;Cleveland, Ohio, USA;;;male;University of Wisconsin-Whitewater / Transfer Gallery;médio;;dieFirma / Wikipedia;alto;FILE;;;;;41.5051414;-81.6914575;100.0;;;
A. Correa Costa;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
A. Tinoco;;;;;;;;;;;;;;"outros; Museu Histórico Nacional";;;;;;;;;;
A.Guedes;;;;;;;;;;;"assinatura abreviada; não foi possível desambiguar com segurança";;;"outros; Museu do Diamante";;;;;;;;;;
A.L. Crego;Spain;autodidata;;;A Coruña, Spain;;;male;FILE Festival;alto;;La Voz de Galicia / ARTEINFORMADO;médio;FILE;;;;;43.3707332;-8.3958532;100.0;;;
Aaron Bradbury;Republic of Abkhazia;;;;;;;male;;;"metadado de país de origem no FILE inconsistente com a biografia; não preenchido; pesquisa sem fonte robusta para local de nascimento";;;FILE;;;;;;;;;;
Abe Abraham;United States;Tisch School of the Arts, New York University;40.73;-73.995;United States;;;male;CURRENTS New Media (bio do artista);médio;"FILE explicita “País de Origem: United States”; preenchido em nível de país.";FILE Festival (País de Origem);alta;FILE;;;;alta;;;;;;
