creator;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of burial;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;onde estudou;datas em que estudou;fonte_datas_estudo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;fonte_lat_death;fonte_lon_death;observacoes_place_of_death;confianca_place_of_death
Jordão de Oliveira;Brazil;primeiros estudos de desenho com Quintino Marques;-10.9093538;-37.0743967;Aracaju;;Rio de Janeiro;male;https://www.guiadasartes.com.br/jordao-de-oliveira/biografia | https://ihgse.org.br/wordpress/jordao-eduardo-de-oliveira-nunes/;;As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques> não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.;Wikidata;alta;Museu Histórico Nacional;Aracaju;;;media;-10.9093538;-37.0743967;100.0;-22.9111111111;-43.2055555556;100.0;https://pge.se.gov.br/artista-do-mes-de-abril-jordao-de-oliveira/;https://www.wikidata.org/wiki/Q8678;https://www.wikidata.org/wiki/Q8678;Local de morte refinado de nível de país para cidade com base em fonte biográfica oficial.;alta
José Vieira Ottoni;;;;;;;;;;;pesquisa deste lote não localizou fonte auditável suficiente sobre formação;;;;;;;;;;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
A. Bierry;;;;;;;;;;;assinatura abreviada> não foi possível desambiguar com segurança;;;Museu da Inconfidência;;;;;;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";
A. Bill Miller;United States;University of Wisconsin-Milwaukee;43.07503;-87.882915;Cleveland, Ohio, USA;;;male;University of Wisconsin-Whitewater / Transfer Gallery;médio;;dieFirma / Wikipedia;alto;FILE;;;;;41.5051414;-81.6914575;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
A. Correa Costa;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";
A. Tinoco;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";
A.Guedes;;;;;;;;;;;assinatura abreviada> não foi possível desambiguar com segurança;;;Museu do Diamante;;;;;;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";
A.L. Crego;Spain;autodidata;43.3707332;-8.3958532;A Coruña, Spain;;;male;FILE Festival | La Voz de Galicia / entrevista em Tumblr;alto;autodidata> coordenadas atribuídas à cidade biográfica associada (A Coruña/Galícia) como proxy de formação;La Voz de Galicia / ARTEINFORMADO;médio;FILE;A Coruña;;;baixa;43.3707332;-8.3958532;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Aaron Bradbury;Republic of Abkhazia;formação em artes com diploma em pintura;;;;;;male;https://archive.file.org.br/participantes/aaron-bradbury/;media;metadado de país de origem no FILE inconsistente com a biografia> não preenchido> pesquisa sem fonte robusta para local de nascimento | formação identificada, mas a fonte não nomeia a instituição;;;FILE;;;;media;;;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Abe Abraham;United States;Tisch School of the Arts, New York University;40.73;-73.995;United States;;;male;CURRENTS New Media (bio do artista);médio;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);alta;FILE;;;;alta;39.398703156;-99.41461919;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Abel-Dominique Boyé;France;école des beaux-arts de Bordeaux> École nationale supérieure des beaux-arts de Paris;44.83111111111111> 48.85680555555555;-0.5611111111111111> 2.333277777777778;Marmande;;Marmande;male;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;;;Wikidata;alta;MASP;Bordeaux> Paris;a partir de 1881> desde 1883 em Paris;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;alta;44.499151322;0.166416496;100.0;44.5;0.1652777778;100.0;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://www.wikidata.org/wiki/Q944872;https://www.wikidata.org/wiki/Q210742;https://www.wikidata.org/wiki/Q210742;"Morte indicada em Marmande; coordenadas referem-se à comuna.";media
Abelardo Zaluar;Brazil;Escola Nacional de Belas Artes (Enba);-22.90879805555556;-43.17573111111111;Niterói, Rio de Janeiro, Brazil;;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia;;;Galeria Ipanema;media;MAC USP;Rio de Janeiro;1944-1948;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar;media;-22.8898227;-43.1220775;;-22.9111111111;-43.2055555556;100.0;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar;https://www.wikidata.org/wiki/Q8678;https://www.wikidata.org/wiki/Q8678;Local de morte preenchido a partir de verbete biográfico institucional.;alta
Abraham Brueghel;Spanish Netherlands;Formação com Jan Brueghel the Younger (pai);51.2234;4.4069;Antwerp;;Naples;male;https://en.wikipedia.org/wiki/Abraham_Brueghel | https://www.christies.com/en/lot/lot-4836790;;Fontes indicam formação com o pai, sem instituição formal nomeada.;Wikidata;alta;Museu Nacional de Belas Artes;Antuérpia;antes da ida para a Itália> sem data exata na fonte;;media;51.25942418;4.371799938;100.0;40.8358333333;14.2486111111;100.0;https://www.wikidata.org/wiki/Q1824525;https://www.wikidata.org/wiki/Q2634;https://www.wikidata.org/wiki/Q2634;"Local de morte mantido; coordenadas ajustadas para a cidade de Naples.";media
Abraham Naton;Israel;Bucharest Art Academy;44.44366667;26.09016667;Reni;Kiryat Shaul Cemetery;Givatayim;male;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;;As fontes consultadas usam a forma Avraham Naton.;Wikidata;alta;MAC USP;Bucareste (Romênia);1930-1935;https://www.beloosesky.com/artists/avraham-naton/biography | https://www.dangallery.co.il/artists/avraham-naton/;alta;27.165741;76.739915;100.0;32.0697222222;34.8116666667;100.0;https://www.wikidata.org/wiki/Q7007344;https://www.wikidata.org/wiki/Q152413;https://www.wikidata.org/wiki/Q152413;"Local de morte mantido; coordenadas ajustadas para a cidade de Givatayim.";media
Abreu;;;;;;;;;;;identificação incompleta> não foi possível desambiguar com segurança;;;;;;;;;;;;;;;;;"Identificação incompleta; não desambiguada com segurança.";
Achille Funi;Italy;Brera Academy> Art School “Dosso Dossi”> Accademia di Brera;44.83916666666666> 45.47222222;11.6175> 9.18888889;Ferrara;;Appiano Gentile;male;https://www.laocoontegalleria.it/en/achille-funi/;;A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.;Wikidata;alta;MAC USP;Ferrara, Itália> Milão, Itália;s.d.> 1906–1910;https://www.laocoontegalleria.it/en/achille-funi/;alta;44.8378378;11.6203994;100.0;45.7383333333;8.9797222222;100.0;https://en.wikipedia.org/wiki/Achille_Funi;https://www.wikidata.org/wiki/Q244042;https://www.wikidata.org/wiki/Q244042;"Local de morte mantido; coordenadas ajustadas para o comune de Appiano Gentile.";media
Adam Martinakis;Poland;estudou Interior Architecture, Decorative Arts and Industrial Design em Atenas;37.98416666666667;23.72805555555556;Lubań, Poland;;;male;site oficial do artista;baixo;;site oficial do artista;alto;FILE;;;;;51.119999978;15.289444427;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Adam Pizurny;Slovakia;;;;Slovakia;;;male;;;biografias localizadas neste lote não informam formação;FILE Festival;alto;FILE;;;;;48.708702094;19.487749196;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Adam Winkels;Canada;;;;Canada;;;male;;;biografias localizadas neste lote informam atuação profissional, sem formação explícita;FILE Festival (País de Origem);alto;FILE;;;;;60.10867;-113.64258;100.0;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
Ademar Shimabukuro;;Pontifícia Universidade Católica de Campinas;-22.8346;-47.0476;Campinas, SP, Brasil;;;male;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;;graduação em arquitetura e urbanismo;MAC USP;alta;MAC USP;Campinas, Brasil;1991;https://www.escavador.com/sobre/1882197/ademar-kazumi-shimabukuro;media;-22.9073702;-47.0628996;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;
