creator;data de nascimento;data de morte;country of citizenship;educated at;lat_educated_at;lon_educated_at;place of birth;place of death;sex or gender;fonte_educated_at;confianca_educated_at;observacoes_pesquisa;fonte_place_of_birth;confianca_place_of_birth;acervo;confianca_preenchimento;lat_birth;lon_birth;score_birth;lat_death;lon_death;score_death;fonte_place_of_death;observacoes_place_of_death;confianca_place_of_death;fonte_data_de_nascimento;fonte_data_de_morte;observacoes_datas_biograficas;confianca_datas_biograficas
Jordão de Oliveira;1900;1980;Brazil;early drawing studies with Quintino Marques > Escola Nacional de Belas Artes;-10.9093538 > -22.8625055;-37.0743967 > -43.2256622;Aracaju;Rio de Janeiro;male;https://www.ufrgs.br/acervopbsa/autor_/oliveira-jordao/;high;As fontes abertas disponíveis sustentam os estudos iniciais com Quintino Marques> não localizei nesta rodada fonte aberta robusta para a etapa posterior no Rio.;Wikidata;high;Museu Histórico Nacional;medium;-10.9093538;-37.0743967;100.0;-22.9111111111;-43.2055555556;100.0;https://pge.se.gov.br/artista-do-mes-de-abril-jordao-de-oliveira/;Local de morte refinado de nível de país para cidade com base em fonte biográfica oficial.;high;PGE Sergipe | Arremate Arte > Wikidata;PGE Sergipe | Arremate Arte > Wikidata;datas confirmadas em fontes biográficas convergentes;high
José Vieira Ottoni;;;;;;;;;;;;pesquisa deste lote não localizou fonte auditável suficiente sobre formação;;;;;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;"não localizadas datas biográficas em fonte auditável; possível homônimo";
A. Bierry;;;;;;;;;;;;assinatura abreviada> não foi possível desambiguar com segurança;;;Museu da Inconfidência;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";;;;"assinatura abreviada; identidade não desambiguada com segurança";
A. Bill Miller;1962;;United States;University of Wisconsin-Milwaukee;43.07503;-87.882915;Cleveland, Ohio, United States;;male;University of Wisconsin-Whitewater / Transfer Gallery;high;;dieFirma / Wikipedia;medium;FILE;;41.5051414;-81.6914575;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;dieFirma | FILE > Ulan;;nascimento corrigido de 1920 para 1962 com base em biografia consistente;high
A. Correa Costa;;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";;;;"autor identificado no acervo; datas biográficas não localizadas em fonte auditável";
A. Tinoco;;;;;;;;;;;;"assinatura/nome parcial; não foi possível desambiguar com segurança";;;Museu Histórico Nacional;;;;;;;;;"Nome parcial; identidade não desambiguada com segurança.";;;;"assinatura abreviada; identidade não desambiguada com segurança";
A.Guedes;;;;;;;;;;;;"The work A Velha Sé de Diamantina is signed “A. Guedes” and dated 1932; the artist's biographical identity could not be disambiguated.";;;Museu do Diamante;;;;;;;;;"Assinatura abreviada; identidade não desambiguada com segurança.";;;;registro localizado em fonte consultada, sem datas biográficas explícitas;
A.L. Crego;;;Spain;self-taught;43.3707332;-8.3958532;A Coruña, Spain;;male;FILE Festival | La Voz de Galicia / entrevista em Tumblr;medium;autodidata> coordenadas atribuídas à cidade biográfica associada (A Coruña/Galícia) como proxy de formação;La Voz de Galicia / ARTEINFORMADO;medium;FILE;low;43.3707332;-8.3958532;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;identificação provável, mas sem datas biográficas explícitas em fonte auditável;
Aaron Bradbury;;;Republic of Abkhazia;;;;;;male;;;metadado de país de origem no FILE inconsistente com a biografia> não preenchido> pesquisa sem fonte robusta para local de nascimento | formação identificada, mas a fonte não nomeia a instituição;;;FILE;medium;;;;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;;;"valor pré-existente de nascimento não confirmado em FILE/MUTEK; campo deixado em branco";
Abe Abraham;1970;;United States;Tisch School of the Arts, New York University;40.73;-73.995;United States;;male;https://currentsnewmedia.org/artist/abe-abraham/;high;FILE explicita “País de Origem: United States”> preenchido em nível de país.;FILE Festival (País de Origem);high;FILE;high;39.398703156;-99.41461919;100.0;;;;;Não localizei fonte auditável suficiente sobre local de morte nesta rodada.;;CURRENTS New Media | Artsy > Ulan;;nascimento corrigido de 1946 para 1970 com base em biografia consistente;high
Abel-Dominique Boyé;1864;1934;France;École des beaux-arts de Bordeaux > École des Beaux-Arts de Paris;44.83111111111111 > 48.853997;-0.5611111111111111 > 2.333500;Marmande;Marmande;male;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://franco.wiki/fr/Abel-Dominique_Boy%C3%A9.html;medium;;Wikidata;high;MASP;high;44.499151322;0.166416496;100.0;44.5;0.1652777778;100.0;https://pt.wikipedia.org/wiki/Abel-Dominique_Boy%C3%A9 | https://www.wikidata.org/wiki/Q944872;"Morte indicada em Marmande; coordenadas referem-se à comuna.";medium;BnF Autorités > Wikidata > Ulan;BnF Autorités > Wikidata > Ulan;"fonte secundária consultada indica óbito em 1933; mantido 1934 conforme autoridade BnF";high
Abelardo Zaluar;1924;1987;Brazil;Escola Nacional de Belas Artes;-22.8625055;-43.2256622;Niterói, Rio de Janeiro, Brazil;Rio de Janeiro;male;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar | https://www.guiadasartes.com.br/abelardo-zaluar/obras-e-biografia;high;;Galeria Ipanema;medium;MAC USP;medium;-22.8898227;-43.1220775;;-22.9111111111;-43.2055555556;100.0;https://enciclopedia.itaucultural.org.br/pessoas/2112-zaluar;Local de morte preenchido a partir de verbete biográfico institucional.;high;Cultura Niterói | Arremate Arte > Ulan;Cultura Niterói | Arremate Arte > Ulan;"Itaú Cultural e MARGS confirmam o intervalo 1924-1987; usada fonte biográfica com datas completas";high
Abraham Brueghel;1631;1690;Spanish Netherlands;training with Jan Brueghel the Younger (father);51.2234;4.4069;Antwerp;Naples;male;https://en.wikipedia.org/wiki/Abraham_Brueghel | https://www.christies.com/en/lot/lot-4836790;medium;Fontes indicam formação com o pai, sem instituição formal nomeada.;Wikidata;high;Museu Nacional de Belas Artes;medium;51.25942418;4.371799938;100.0;40.8358333333;14.2486111111;100.0;https://www.wikidata.org/wiki/Q1824525;"Local de morte mantido; coordenadas ajustadas para a cidade de Naples.";high;Art UK > Wikidata > Ulan;Wikidata > Ulan;"fontes consultadas divergem sobre o ano de morte (c.1690 / 1697); óbito deixado em branco";high
