educated at,coordinate location
Aalto University,"60.186111,24.828611"
Academia Imperial de Belas Artes,
Academia Nacional de Bellas Artes San Alejandro,"23.087472,-82.426917"
Académie de la Grande Chaumière,"48.8422,2.3304"
Académie de Saint-Luc,
Académie des beaux-arts,"48.857222,2.336889"
Académie des beaux-arts de Saint-Josse-ten-Noode,
Académie Julian,"48.871111111111,2.3416666666667"
Académie Ranson,
Académie royale de peinture et de sculpture,"48.85722222222222,2.3369444444444443"
Académie Suisse,"48.8545,2.3446"
Academie van Beeldende Kunsten en Technische Wetenschappen,
Academie voor Beeldende Kunsten Sint-Joost,
"Academy of Architecture and Arts, Southern Federal University",
Academy of Fine Art in Guangzhou,
Academy of Fine Arts and Design in Bratislava,"48.1416,17.1072"
Academy of Fine Arts in Kraków ,
Academy of Fine Arts In Łódź,"51.788577,19.482554"
Academy of Fine Arts Leuven,
Academy of Fine Arts Munich,
Academy of Fine Arts of Bologna,"44.497811111111,11.353188888889"
Academy of Fine Arts of Bologna; Cineteca Bologna; University of California San Diego,
Academy of Fine Arts of Rome,"41.9075,12.4756"
Academy of Fine Arts of Rome,"41.9075,12.4756"
Academy of Fine Arts Vienna,"48.201388888889,16.365277777778"
"Academy of Fine Arts, Belgrade",
"Academy of Fine Arts, Florence","43.776907,11.258475"
"Academy of Fine Arts, Karlsruhe","49.0144,8.38726"
"Academy of Fine Arts, Munich","48.1531959202723,11.5803123911292"
"Academy of Fine Arts, Prague","50.1027092,14.4240053"
"Academy of Fine Arts, University of Zagreb","45.8121,15.9624"
"Academy of Fine Arts, Warsaw","52.239444444444445,21.015833333333333"
Academy of Media Arts Cologne,"50.93475582568144,6.962159950772375"
Academy of Performing Arts in Bratislava,"48.14388889,17.10972222"
Academy of San Carlos,"19.433086,-99.128844"
Accademia Albertina,"45.0675,7.68944444"
Accademia del Regno italico,
Accademia delle Arti del Disegno,"43.776907,11.258475"
Accademia di Belle Arti di Foggia,"41.46189,15.543579"
Accademia di Belle Arti di Napoli,"40.8516,14.2512"
Accademia di Belle Arti di Venezia,"45.4286,12.3305"
Aix-en-Provence School of Art,"43.5307,5.44105"
Aix-Marseille University,"43.29349444444444,5.357841666666666"
AKV,
Alberta University of the Arts,"51.062,-114.091"
Alexandria University,"31.20194,29.90528"
Alfred University,"42.255555555556,-77.787527777778"
Algonquin College - Kuwait,
American Film Institute,
American University of Sharjah,"25.309722,55.490556"
Amherst College,"42.370833333333,-72.516944444444"
Anderson University,"34.515,-82.64"
