creator,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth,acervo,source,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,confianca_preenchimento,museum_json,lat_birth,lon_birth,score_birth,lat_death,lon_death,score_death
Adrian Dexter,,European Film College | The Animation Workshop,,,,,male,Animafest (biografia do autor),médio,,nova_tentativa_01; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Alejandro Casales,Mexico,"Escuela Nacional de Música, Universidad Nacional Autónoma de México | Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda""",,"Mexico City, Mexico",,Axochiapan,male,FILE Festival,médio,,16; place_of_birth_lote_02,site oficial do artista,alto,FILE,FILE,,,,,,,,,19.430457906,-99.141684761,100.0,18.525238962,-98.752114012,100.0
Amy Karle,United States,Alfred University | Cornell University,,"New York, USA",,,female,American Arts Incubator,médio,,19; place_of_birth_lote_02,Wikipedia / AMEI Magazine,médio,FILE,FILE,,,,,,,,,40.7130466,-74.0072301,100.0,,,
Andreas Lutz,Germany,Offenburg University of Applied Sciences,,"Freiburg im Breisgau, Germany",,,male,CURRENTS New Media,médio,,6; place_of_birth_lote_02,CV oficial / Wikipedia,alto,FILE,FILE,,,,,,,,,47.994785999,7.849876999,100.0,,,
Beat Suter,Switzerland,University of Zurich,,"Baden, Switzerland",,,male,Zurich University of the Arts (ZHdK),alto,,6; place_of_birth_lote_01,Kunstradio / Literaturhaus Graz,alto,FILE,FILE,,,,,,,,,47.465543336,8.288254058,100.0,,,
Bego M Santiago,Spain,Technical University of Valencia,,"Santiago de Compostela, Spain",,,female,,,,place_of_birth_lote_02,Wikipedia (gl) / FIC KAKV,médio,FILE,FILE,,,,,,,,,42.8806228,-8.5466071,100.0,,,
Ben Chang,United States,Walsh School of Foreign Service,,,,,male,,,,place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Bjørn Svin,Kingdom of Denmark,,,"Ringsted, Denmark",,,male,,,,nova_tentativa_01; lote_21; lote_30; place_of_birth_lote_01,Discogs / Wikipedia (fontes convergentes),médio,FILE,FILE,,,,,,,,,55.457294990286,11.817460156874,100.0,,,
Bo Mathorne,Kingdom of Denmark,The Drawing Academy | The Animation Workshop,,Denmark,,,male,FILE Festival (biografia do artista),médio,,2; place_of_birth_lote_01,FILE Festival (biografia do artista),alto,FILE,FILE,,,,,,,,,55.959300779,10.053934054,100.0,,,
Boris Labbé,France,École Supérieure d’Art et de Céramique de Tarbes | EMCA École des Métiers du Cinéma d’Animation,,"Lannemezan, France",,,male,Cinemambiente | Expanded Animation,médio,,10; place_of_birth_lote_01,Semaine de la Critique / Media Art Festival,alto,FILE,FILE,,,,,,,,,43.125425768,0.384017969,100.0,,,
Boris Seewald,Germany,Filmarche | Berlin University,,,,,male,Numeridanse,médio,,18; place_of_birth_lote_01; place_of_birth_lote_09,,,FILE,FILE,,,,,,,,,,,,,,
Brandon Blommaert,Canada,Alberta College of Art and Design,,"Edmonton, Alberta, Canada",,,male,FILE Festival,médio,,8; place_of_birth_lote_01,Animafest / FILE Festival,alto,FILE,FILE,,,,,,,,,53.54545,-113.49014,100.0,,,
Camilo Colmenares,Colombia,National University of Colombia | Academy of Media Arts Cologne,,"Bogotá, Colombia",,,male,Animafest | KHM | FILE Festival,médio,,8; place_of_birth_lote_01,ISM ISM ISM / Deutsche Biographie,alto,FILE,FILE,,,,,,,,,4.6068824,-74.071837,100.0,,,
Carlos Franklin,Colombia,Universidad de los Andes | Le Fresnoy - Studio national des arts contemporains,,Colombia,,,male,FMSH | FILE Festival,alto,,10; place_of_birth_lote_01,FMSH / FILE Festival,alto,FILE,FILE,,,,,,,,,3.901115804,-73.075754924,100.0,,,
